id,name,state_id/id
kabupaten_id_465,Tapanuli Utara,base.state_id_su
kabupaten_id_466,Tapin,base.state_id_ks
kabupaten_id_467,Tarakan,base.state_id_ku
kabupaten_id_468,Tasikmalaya,base.state_id_jb
kabupaten_id_469,Tasikmalaya,base.state_id_jb
kabupaten_id_470,Tebing Tinggi,base.state_id_su
kabupaten_id_471,Tebo,base.state_id_ja
kabupaten_id_472,Tegal,base.state_id_jt
kabupaten_id_473,Tegal,base.state_id_jt
kabupaten_id_474,Teluk Bintuni,base.state_id_pb
kabupaten_id_475,Teluk Wondama,base.state_id_pb
kabupaten_id_476,Temanggung,base.state_id_jt
kabupaten_id_477,Ternate,base.state_id_mu
kabupaten_id_478,Tidore Kepulauan,base.state_id_mu
kabupaten_id_479,Timor Tengah Selatan,base.state_id_nt
kabupaten_id_480,Timor Tengah Utara,base.state_id_nt
kabupaten_id_481,Toba Samosir,base.state_id_su
kabupaten_id_482,Tojo Una-Una,base.state_id_st
kabupaten_id_483,Toli-Toli,base.state_id_st
kabupaten_id_484,Tolikara,base.state_id_pa
kabupaten_id_485,Tomohon,base.state_id_sa
kabupaten_id_486,Toraja Utara,base.state_id_sn
kabupaten_id_487,Trenggalek,base.state_id_ji
kabupaten_id_488,Tual,base.state_id_ma
kabupaten_id_489,Tuban,base.state_id_ji
kabupaten_id_490,Tulang Bawang,base.state_id_la
kabupaten_id_491,Tulang Bawang Barat,base.state_id_la
kabupaten_id_492,Tulungagung,base.state_id_ji
kabupaten_id_493,Wajo,base.state_id_sn
kabupaten_id_494,Wakatobi,base.state_id_sg
kabupaten_id_495,Waropen,base.state_id_pa
kabupaten_id_496,Way Kanan,base.state_id_la
kabupaten_id_497,Wonogiri,base.state_id_jt
kabupaten_id_498,Wonosobo,base.state_id_jt
kabupaten_id_499,Yahukimo,base.state_id_pa
kabupaten_id_500,Yalimo,base.state_id_pa
kabupaten_id_501,Yogyakarta,base.state_id_yo
